,Variable,Title,WVS7,WVS6,WVS5,WVS4,WVS3,WVS2,WVS1,
,E069_05,Confidence: Labour Unions,Q68,V112,V135,V151,V140,V277,V140,
,E069_06,Confidence: The Police,Q69,V113,V136,V152,V141,V278,V141,
,E069_07,Confidence: Parliament,Q73,V117,V140,V155,V144,V279,V144,
,E069_08,Confidence: The Civil Services,Q74,V118,V141,V156,V145,V280,V145,
,E069_09,Confidence: Social Security System,EVS_v123,,,,,V282,,
,E069_10,Confidence: Television,Q67,V111,V134,V150,V139,V283,,
,E069_11,Confidence: The Government,Q71,V115,V138,V153,V142,V289,,
,E069_12,Confidence: The Political Parties,Q72,V116,V139,V154,V143,V285,,
,E069_13,Confidence: Major Companies,Q77,V120,V142,V157,V146,V281,V146,
,E069_14,Confidence: The Environmental Protection Movement,Q79,V122,V143,V158,V147,,,
,E069_15,Confidence: The Women´s Movement,Q80,V123,V144,V159,V148,,,
,E069_17,Confidence: Justice System/Courts,Q70,V114,V137,,V137,V275,V137,
,E069_18,Confidence: The European Union,Q82_EU,V125_00,V146_00,V160,V149_00,V283B,,
,E069_18A,Confidence: Major regional organization (combined from country-specific),Q82,V125REG,V146REG,V160REG,V149REG,,,
,E069_19,Confidence: NATO,Q86,,V146_01,V161,,V284,,
,E069_20,Confidence: The United Nations,Q83,V126,V147,V162,V150,,,
,E069_21,Confidence: The Arab League,Q82_ARABLEAGUE,V125_15,V146_02,V160B,,,,
,E069_22,Confidence: The Association of South East Asian Nations -ASEAN,Q82_ASEAN,V125_09,,V160C,V149_06,,,
,E069_23,Confidence: The Organization for African Unity-OAU,,V125_08,V146_04,V160D,V149_04,,,
,E069_24,Confidence: The NAFTA,Q82_NAFTA,V125_05,V146_05,V160E,V149_07,,,
,E069_25,Confidence: The Andean pact,,,,V160F,V149_09,,,
,E069_26,Confidence: The Mercosur,Q82_MERCOSUR,V125_06,V146_06,V160G,V149_01,,,
,E069_27,Confidence: The SAARC,Q82_SAARC,V125_12,,V160H,V149_02,,,
,E069_28,Confidence: The ECO,,,,V160I,,,,
,E069_29,Confidence: The APEC,Q82_APEC,V125_01,V146_07,V160J,V149_03,,,
,E069_30,Confidence: The Free Commerce Treaty (Tratado de libre comercio),Q82_TLC,V125_14,,V160K,V149_08,,,
,E069_31,Confidence: The United American States Organization (Organización de Estados Unidos Americanos - OEA),,,V146_08,V160L,V149_05,,,
,E069_32,Confidence: The “Movimiento en pro de Vieques”(Puerto Rico),,,,V160M,,,,
,E069_33,Confidence: Local/Regional Government,,,V146_09,V160N,,,,
,E069_34,Confidence: SADC/SADEC,,,,V160O,,,,
,E069_35,Confidence: East African Cooperation (EAC),,,,V160P,,,,
,E069_38,Confidence: The Presidency,,,,V160Q,,,,
,E069_39,Confidence: The Civil Society Groups,,,,V160R,,,,
,E069_40,Confidence: Charitable or humanitarian organizations,Q81,V124,V145,,,,,
,E069_41,Confidence: Banks,Q78,V121,V146_15,,,,,
,E069_42,Confidence: CARICOM,,V125_02,V146_19,,,,,
,E069_43,Confidence: CIS,Q82_CIS,V125_07,V146_14,,,,,
,E069_44,Confidence: Confidence in CER with Australia,,V125_10,V146_10,,,,,
,E069_45,Confidence: International Monetary Found (IMF),Q84,,V146_18,,,,,
,E069_46,Confidence: Non governmental Organizations (NGOs),,,V146_17,,,,,
,E069_47,Confidence: The American Forces,,,V146_13,,,,,
,E069_48,Confidence: The non-Iraqi television,,,V146_12,,,,,
,E069_49,Confidence: TV News,,,V146_16,,,,,
,E069_51,Confidence: Religious leaders,,,V146_20,,,,,
,E069_52,Confidence: Evangelic Church,,,V146_21,,,,,
,E069_54,Confidence: Universities,Q75,V119,,,,,,
,E069_55,Confidence: The Organization of the Islamic World,Q82_ISLCOOP,V125_04,,,,,,
,E069_56,Confidence: The Organization of American States (OAE),Q82_OAS,V125_11,,,,,,
,E069_57,Confidence: UNASUR,,V125_13,,,,,,
,E069_58,Confidence: The Arab Maghreb Union,,V125_03,,,,,,
,E069_59,Confidence: Cooperation Council for the Arab states of Gulf (GCC),Q82_GULFCOOP,V125_16,,,,,,
,E069_60,Confidence: Mainland government,,V125_17,,,,,,
,E069_61,Confidence: The World Trade Organization (WTO),Q89,,,,,,,
,E069_62,Confidence: The World Health Organization (WHO),Q88,,,,,,,
,E069_63,Confidence: The World Bank,Q87,,,,,,,
,E069_64,Confidence: Elections,Q76,,,,,,,
,E069_65,Confidence: International Criminal Court (ICC),Q85,,,,,,,
,E069_66,Confidence: UNDP United Nations Development Programme,Q82_UNDP,,,,,,,
,E069_67,Confidence: The African Union (AU),Q82_AFRICANUNION,,,,,,,
,E104,Approval: Ecology movement or nature protection,,,,,,V290,,
,E105,Approval: Anti-nuclear energy movement,,,,,,V291,,
,E106,Approval: Disarmament movement,,,,,,V292,,
,E107,Approval: Human rights movement,,,,,,V293,,
,E108,Approval: Women’s movement,,,,,,V294,,
,E109,Approval: Anti-apartheid movement,,,,,,V295,,
,E110,Satisfaction with the way democracy develops,,,,V168,EE_167,,,
,E111,Rate political system for governing country,,,,V163A,V152,,,
,E111_01,Satisfaction with the political system performance,Q252,,,,,,,
,E112,Rate political system as it was before,,,,V163,V151,,,
,E113,Rate political system in ten years,,,,V163B,V153,,,
,E114,Political system: Having a strong leader,Q235,V127,V148,V164,V154,,,
,E115,Political system: Having experts make decisions,Q236,V128,V149,V165,V155,,,
,E116,Political system: Having the army rule,Q237,V129,V150,V166,V156,,,
,E117,Political system: Having a democratic political system,Q238,V130,V151,V167,V157,,,
,E117B,Political system: Having a system governed by religious law in which there are no political parties or elections,Q239,,,,,,,
,E118,Firm party leader vs. Cooperating party leader,,,,,V158,,,
,E119,Government order vs. freedom,,,,,V159,,,
,E120,"In democracy, the economic system runs badly",,,,V169,V160,,,
,E121,Democracies are indecisive and have too much squabbling,,,,V170,V161,,,
,E122,Democracies aren´t good at maintaining order,,,,V171,V162,,,
,E123,Democracy may have problems but is better,,,,V172,V163,,,
,E124,Respect for individual human rights nowadays,Q253,V142,V164,V173,EE_168,,,
,E125,Satisfaction with the people in national office,,,,V174,V165,,,
,E127,Free market economy right for country future,,,,,EE_166,,,
,E128,Country is run by big interest vs. for all people’s benefit,,,,V175,V166,V288,,
,E129,Economic aid to poorer countries,,,,V176,,,,
,E129A,Amount of foreign aid of this country,,,V175,,,,,
,E129B,How much more foreign aid this country should contribute,,,V176,,,,,
,E129C,Be willing to pay higher taxes in order to increase country´s foreign aid,,,V177,,,,,
,E129D,Economic aid to poorer countries (favor/against),,,,,V176,,,
,E130,Poverty compared to 10 years ago,,,,,V171,,,
,E131,Why are people in need,,,,,V172,,,
,E132,Chance to escape from poverty,,,,,V173,,,
,E133,How much is the government doing against poverty,,,,,V174,,,
,E134,Amount of help for less developed countries,,,,,V175,,,
,E135,Who should decide: international peacekeeping,,,V179,V177,,,,
,E136,Who should decide: protection of the environment,,,V180,V178,,,,
,E137,Who should decide: aid to developing countries,,,V181,V179,,,,
,E138,Who should decide: refugees,,,V182,V180,,,,
,E139,Who should decide: human rights,,,V183,V181,,,,
,E140,Country cannot solve environmental problems by itself,,,,V181A,,,,
,E141,Country cannot solve crime problems by itself,,,,V181B,,,,
,E142,Country cannot solve employment problems by itself,,,,V181C,,,,
,E143,Immigrant policy,Q130,,V124,V146,V134,,,
,E150,How often follows politics in the news,,,,V217,,,,
,E179_WVS7LOC,Which party would you vote for if there were a national election tomorrow (Local names),Q223_LOCAL,V228_LOCAL,V231_LOCAL,V220_local,V210_local,Q223_LOCAL,,
,E179WVS,Which party would you vote for: first choice (WVS),Q223,V228,V231,V220,V210,V351,,
,E180WVS,Which party would you vote for: second choice (WVS),,V228_2,V232,V221,V211,V352,,
,E182,Party that would never vote,,,V233,V222,V212,,,
,E184,Aggression from neighbouring country,,,,IV186,,,,
,E185,Exploitation of local resources,,,,IV187,,,,
,E186,Cultural invasion by the west,,,,IV188,,,,
,E188,Frequency watches TV,,,,V237B,V228,,,
,E189,TV most important entertainment,,,,V237,,,,
,E190,Why are there people living in need: first,,,,,,V97,,
,E191,Why are there people living in need: second,,,,,,V98,,
,E192,Least liked group in society,,,,,V167,,,
,E193,Least liked allow: hold office,,,,,V168,,,
,E194,Least liked allow: teach,,,,,V169,,,
,E195,Least liked allow: demonstrate,,,,,V170,,,
,E196,Extent of political corruption,,,,,V213,,,
,E198,Using violence for political goals not justified,,,,,V164,,,
,E203,Rapid implementation of market reforms have negative impact on national stability,,,,CSALG133,,,,
,E204,Effect of market economic reforms,,,,CSALG134,,,,
,E205,Political parties serve the social and political needs of people,,,,CSALG150,,,,
,E206,Free and fair elections will reduce terrorism,,,,CSALG152,,,,
,E207,[Country] should have close relations with France,,,,CSALG158,,,,
,E208,[Country] should have close relations with United States,,,,CSALG159,,,,
,E209,Would persist to immigrate abroad if R´s economic situation was better,,,,CSALG160,,,,
,E211,Opinion about the problem of Palestine and Israel,,,,ISL17,,,,
,E212,Opinion about 11th september airliners crash action by religious fundamentalists,,,,ISL18,,,,
,E213,Woman should not work outside unless forced to do so,,,,ISL20,,,,
,E214,Western democracy is the best political system for country,,,,ISL21,,,,
,E215,It is necessary to fight terrorism by military means,,,,ISL23,,,,
,E216,[Country] needs foreign military cooperation to combat terrorism,,,,ISL24,,,,
,E217,"Science and technology are making our lives healthier, easier, and more comfortable",Q158,V192,V91,,,,,
,E218,"Because of science and technology, there will be more opportunities for the next generation",Q159,V193,V92,,,,,
,E219,Science and technology make our way of life change too fast,,,V93,,,,,
,E220,We depend too much on science and not enough on faith,Q160,V194,V94,,,,,
,E221B,Political action recently done: Attending peaceful/lawful demonstrations,,V92,V102,,,,,
,E222,Political action: Other,,V89,V99,,,,,
,E222B,Political action recently done: Other,,V94,V103,,,,,
,E224,Democracy: Governments tax the rich and subsidize the poor.,Q241,V131,V152,,,,,
,E225,Democracy: Religious authorities interpret the laws.,Q242,V132,V153,,,,,
,E226,Democracy: People choose their leaders in free elections.,Q243,V133,V154,,,,,
,E227,Democracy: People receive state aid for unemployment.,Q244,V134,V155,,,,,
,E228,Democracy: The army takes over when government is incompetent.,Q245,V135,V156,,,,,
,E229,Democracy: Civil rights protect people’s liberty against oppression.,Q246,V136,V157,,,,,
,E230,Democracy: The economy is prospering.,,,V158,,,,,
,E231,Democracy: Criminals are severely punished.,,,V159,,,,,
,E232,Democracy: People can change the laws in referendums.,,,V160,,,,,
,E233,Democracy: Women have the same rights as men.,Q249,V139,V161,,,,,
,E233A,Democracy: The state makes people's incomes equal,Q247,V137,,,,,,
,E233B,Democracy: People obey their rulers,Q248,V138,,,,,,
,E234,"The world is better off, or worse off, because of science and technology",Q163,V197,V123,,,,,
,E235,Importance of democracy,Q250,V140,V162,,,,,
,E236,Democraticness in own country,Q251,V141,V163,,,,,
,E237,Heard of the Millennium Development Goals,,,V165,,,,,
,E238,Most serious problem of the world: 1st choice,,V80,V166,,,,,
,E239,Most serious problem of the world: 2nd choice,,,V167,,,,,
,E240,Most serious problem for own country: 1st choice,,,V168,,,,,
,E241,Most serious problem for own country: 2nd choice,,,V169,,,,,
,E242,MDG: Reduce extreme poverty,,,V170,,,,,
,E243,MDG: Increase primary education,,,V171,,,,,
,E244,MDG: Reduce child mortality,,,V172,,,,,
,E245,MDG: Fight HIV,,,V173,,,,,
,E246,MDG: Improve housing conditions,,,V174,,,,,
,E247,Priority: Global poverty versus National problems,,,V178,,,,,
,E248,Information source: Daily newspaper,,V217_ESMA,V223,,,,,
,E248B,Information source: Daily newspaper (B),Q201,V217,,,,,,
,E249,Information source: News broadcasts on radio or TV,,,V224,,,,,
,E250,Information source: Printed magazines,,V218_ESMA,V225,,,,,
,E250B,Information source: Printed magazines (B),,V218,,,,,,
,E251,Information source: In depth reports on radio or TV,,,V226,,,,,
,E252,Information source: Books,,,V227,,,,,
,E253,"Information source: Internet, Email",,,V228,,,,,
,E253B,"Information source: Social media (Facebook, Twitter, etc.)",Q207,,,,,,,
,E254,Information source: Talk with friends or colleagues,,V224_ESMA,V229,,,,,
,E254B,Information source: Talk with friends or colleagues (B),Q208,V224,,,,,,
,E255,How often use of PC,,V225,V230,,,,,
,E256,General party preference,,,V233A,,,,,
,E257,Voted in recent parliament elections,,,V234,,,,,
,E258,Information source: TV news,,V219_ESMA,,,,,,
,E258B,Information source: TV news (B),Q202,V219,,,,,,
,E259,Information source: Radio news,,V220_ESMA,,,,,,
,E259B,Information source: Radio news (B),Q203,V220,,,,,,
,E260,Information source: Mobile phone,,V221_ESMA,,,,,,
,E260B,Information source: Mobile phone (B),Q204,V221,,,,,,
,E261,Information source: Email,,V222_ESMA,,,,,,
,E261B,Information source: Email (B),Q205,V222,,,,,,
,E262,Information source: Internet,,V223_ESMA,,,,,,
,E262B,Information source: Internet (B),Q206,V223,,,,,,
,E263,Vote in elections: local level,Q221,V226,,,,,,
,E264,Vote in elections: National level,Q222,V227,,,,,,
,E265_01,How often in country's elections: Votes are counted fairly,Q224,V228A,,,,,,
,E265_02,How often in country's elections: Opposition candidates are prevented from running,Q225,V228B,,,,,,
,E265_03,How often in country's elections: TV news favors the governing party,Q226,V228C,,,,,,
,E265_04,How often in country's elections: Voters are bribed,Q227,V228D,,,,,,
,E265_05,How often in country's elections: Journalists provide fair coverage of elections,Q228,V228E,,,,,,
,E265_06,How often in country's elections: Election officials are fair,Q229,V228F,,,,,,
,E265_07,How often in country's elections: Rich people buy elections,Q230,V228G,,,,,,
,E265_08,How often in country's elections: Voters are threatened with  violence at the polls,Q231,V228H,,,,,,
,E265_09,How often in country's elections: Voters are offered a genuine choice in the elections,Q232,V228I,,,,,,
,E265_10,How often in country´s elections: Women have equal opportunities to run the office,Q233,,,,,,,
,E266,Some people think that having honest elections makes a lot of difference in their lives;  other people think that it doesn’t matter much,Q234,V228J,,,,,,
,E267,Importance of having honest elections in whether or not this country develops economically,,V228K,,,,,,
,E268,"Scale corruption in [my country] - pay a bribe, give a gift, do a favor to other to get things",Q112,,,,,,,
,E269,Groups of people involved in corruption: State authorities,Q113,,,,,,,
,E270,Groups of people involved in corruption: Business executives,Q114,,,,,,,
,E271,Groups of people involved in corruption: Local authorities,Q115,,,,,,,
,E272,"Groups of people involved in corruption: Civil service providers (police, judiciary, civil servants, doctors, teachers)",Q116,,,,,,,
,E273,Groups of people involved in corruption: Journalists and media,Q117,,,,,,,
,E274,"Frequency ordinary people pay a bribe, give a gift or do a favor to local officials/service providers in order to get services",Q118,,,,,,,
,E275,"Degree of agreement: On the whole, women are less corrupt than men",Q119,,,,,,,
,E276,"Risk in this country to be held accountable for giving or receiving a bribe, gift or favor in return for public service",Q120,,,,,,,
,E277,Standard of living comparing with your parents,Q56,,,,,,,
,E278,"Should international organizations prioritize, being effective or being democratic",Q90,,,,,,,
,E279,Five countries have permanent seats on the Security Council of the United Nations. Which ones of the following is not a member?,Q91,,,,,,,
,E280,Where are the headquarters of the International Monetary Fund (IMF) located?,Q92,,,,,,,
,E281,Which of the following problems does the organization Amnesty International deal with?,Q93,,,,,,,
,E282,Political actions using Internet: Searching information about politics and political events,Q217,,,,,,,
,E283,Political actions using Internet: Signing an electronic petition,Q218,,,,,,,
,E284,Political actions using Internet: Encouraging other people to take any form of political action,Q219,,,,,,,
,E285,"Political actions using Internet: Organizing political activities, events, protests",Q220,,,,,,,
,E286,Social activism: Donating to a group or campaign,Q213,,,,,,,
,E287,Social activism: Contacting a government official,Q214,,,,,,,
,E288,Social activism: Encouraging others to take action about political issues,Q215,,,,,,,
,E289,Social activism: Encouraging others to vote,Q216,,,,,,,
,E290,Justifiable: Political violence,Q194,,,,,,,
,E291,How much would you say the political system in your country allows people like you to have a say in what the government does?,Q234A,,,,,,,
,F001,Thinking about meaning and purpose of life,,V143,V184,V182,V177,V133,V177,
,F003,Thinking about death,,,,,,V134,,
,F004,Life is meaningful because God exits,,,,,,V135,,
,F005,Try to get the best out of life,,,,,,V136,,
,F006,Death is inevitable,,,,,,V137,,
,F007,Death has meaning if you believe in God,,,,,,V138,,
,F008,Death is a natural resting point,,,,,,V139,,
,F009,Sorrow has meaning if you believe in God,,,,,,V140,,
,F010,Life has no meaning,,,,,,V141,,
,F022,Statement: good and evil,,,,V183,V178,V142,V178,
,F025,Religious denominations - major groups,Q289,V144G,V185G,V184G,V179G,V144G,V179G,
,F025_WVS,Religious denomination - detailed list,Q289CS9,V144,V185,V184,v179,V144b,V179N,
,F025old,Religious denomination,,,V185old,V184old,V179old,V144,V179,
,F027,Which former religious denomination,,,,,,V145,,
,F028,How often do you attend religious services,Q171,V145,V186,V185,V181,V147,V181,
,F028B,How often to you pray,Q172,V146,,,,,,
,F029,Raised religiously,,,,,V180,V146,,
,F031,Important: Religious service birth,,,,,,V148,,
,F032,Important: Religious service marriage,,,,,,V149,,
,F033,Important: Religious service death,,,,,,V150,,
,F034,Religious person,Q173,V147,V187,V186,V182,V151,V182,
,F035,Churches give answers: moral problems,,,V188,V187,,V152,,
,F036,Churches give answers: the problems of family life,,,V189,V188,,V153,,
,F037,Churches give answers: people´s spiritual needs,,,V190,V189,,V154,,
,F038,Churches give answers: the social problems,,,V191,V190,,V155,,
,F040,Churches speak out on: disarmament,,,,,,V156,,
,F041,Churches speak out on: abortion,,,,,,V157,,
,F042,Churches speak out on: third world problems,,,,,,V158,,
,F043,Churches speak out on: extramarital affairs,,,,,,V159,,
,F044,Churches speak out on: unemployment,,,,,,V160,,
,F045,Churches speak out on: racial discrimination,,,,,,V161,,
,F046,Churches speak out on: euthanasia,,,,,,V162,,
,F047,Churches speak out on: homosexuality,,,,,,V163,,
,F048,Churches speak out on: ecology and environmental issues,,,,,,V164,,
,F049,Churches speak out on: government policy,,,,,,V165,,
,F050,Believe in: God,Q165,V148,,V191,V183,V166,V183,
,F051,Believe in: life after death,Q166,,,V192,V184,V167,V184,
,F052,Believe in: people have a soul,,,,V193,V185,V168,V185,
,F053,Believe in: hell,Q167,V149,,V194,V187,V170,V187,
,F054,Believe in: heaven,Q168,,,V195,V188,V171,V188,
,F055,Believe in: Sin,,,,,V189,V172,V189,
,F057,Believe in: re-incarnation,EVS_v61,,,,,V174,,
,F059,Believe in: devil,,,,,V186,V169,V186,
,F060,Believe in: resurrection of the dead,,,,,,V173,,
,F062,Personal God vs. Spirit or Life Force,EVS_v62,,,,,V175,,
,F063,How important is God in your life,Q164,V152,V192,V196,V190,V176,V190,
,F064,Get comfort and strength from religion,,,,V197,V191,V177,V191,
,F065,"Moments of prayer, meditation...",,,V193,V198,,V178,,
,F066,Pray to God outside of religious services (I),,,,V199,,,,
,F067,Pray to God outside of religious services (ii),,,,,,V179,,
,F102,Politicians who don´t believe in God are unfit for public office,,,V194,V200,,,,
,F103,Religious leaders should not influence how people vote,,,V195,V201,,,,
,F104,Better if more people with strong religious beliefs in public office,,,V196,V202,,,,
,F105,Religious leaders should not influence government,,,V197,V203,,,,
,F108,Government protects freedom,,,,IV163,,,,
,F109,Government protects religion,,,,IV164,,,,
,F110,Laws: people’s wishes,,,,IV165,,,,
,F111,Only laws of the Shari´a,,,,IV166,,,,
,F114A,Justifiable: Claiming government benefits to which you are not entitled,Q177,V198,V198,V204,V192,V296,V192,
,F114B,Justifiable: Stealing property,Q179,V200,,,,,,
,F114C,Justifiable: Parents beating children,Q190,V209,,,,,,
,F114D,Justifiable: Violence against other people,Q191,V210,,,,,,
,F114E,"Justifiable: Terrorism as a political, ideological or religious mean",Q192,,,,,,,
,F115,Justifiable: Avoiding a fare on public transport,Q178,V199,V199,V205,V193,V297,V193,
,F116,Justifiable: Cheating on taxes,Q180,V201,V200,V206,V194,V298,V194,
,F117,Justifiable: Someone accepting a bribe,Q181,V202,V201,V207,V196,V306,V196,
,F118,Justifiable: Homosexuality,Q182,V203,V202,V208,V197,V307,V197,
,F119,Justifiable: Prostitution,Q183,V203A,V203,V209,V198,V308,V198,
,F120,Justifiable: Abortion,Q184,V204,V204,V210,V199,V309,V199,
,F121,Justifiable: Divorce,Q185,V205,V205,V211,V200,V310,V200,
,F122,Justifiable: Euthanasia,Q188,V207A,V206,V212,V201,V312,V201,
,F123,Justifiable: Suicide,Q187,V207,V207,V213,V202,V313,V202,
,F124,Justifiable: Drinking alcohol,,,,IV167,,,,
,F125,Justifiable: Joyriding,,,,,,V300,,
,F126,Justifiable: Taking soft drugs,EVS_v151,,,,,V301,,
,F127,Justifiable: Llying,,,,,,V303,,
,F128,Justifiable: Adultery,,,,,,V304,,
,F129,Justifiable: Throwing away litter,,,,,,V318,,
,F130,Justifiable: Driving under influence of alcohol,,,,,,V319,,
,F132,Justifiable: Having casual sex,Q193,,,,,,,
,F135,Justifiable: Sex under the legal age of consent,,,,,,V305,,
,F135A,Justifiable: Sex before marriage,Q186,V206,,,,,,
,F136,Justifiable: Political assassination,,,,,,V317,,
,F139,Justifiable: Buy stolen goods,,,,,V195,V299,V195,
,F140,Justifiable: Keeping money that you have found,,,,,,V302,,
,F141,Justifiable: Fighting with the police,,,,,,V311,,
,F142,Justifiable: Failing to report damage you’ve done accidentally to a parked vehicle,,,,,,V314,,
,F143,Justifiable: Threatening workers who refuse to join a strike,,,,,,V315,,
,F144,Justifiable: Klling in self-defence,,,,,,V316,,
,F144_02,Justifiable: Death penalty,Q195,,,,,,,
,F164,Islam requires woman to dress modestly but does not require cover face with veil,,,,ISL01,,,,
,F165,Violation of Islam for male and female university students to attend classes together,,,,ISL02,,,,
,F166,"By requiring man treat all wives equally, Islam true intent is prohibit taking more than one wife",,,,ISL03,,,,
,F167,Monarchy is a form of government that is compatible with Islam,,,,ISL04,,,,
,F168,Democracy is a Western form of government that is not compatible with Islam,,,,ISL05,,,,
,F169,Nationalism is incompatible with Islam because Islam requires ´ummah´,,,,ISL06,,,,
,F170,"If Palestinian state established and peace with Israel, Islam would not oppose existence of Israel",,,,ISL07,,,,
,F171,"If country pursues policies harmful to Muslims, Islam permits killing civilians in that country",,,,ISL08,,,,
,F172,A truly Islamic country should not have a parliament with the right to pass laws,,,,ISL09,,,,
,F173,Islam requires that political rights of non Muslims should be inferior to those of Muslims,,,,ISL10,,,,
,F174,Islams requires country with majority of Muslims be governed by men of Islamic learning,,,,ISL11,,,,
,F175,Religions limit democratic processes,,,,ISL12,,,,
,F176,Some US Policies toward other countries are good and some are bad,,,,ISL13,,,,
,F177,"While US policies toward other countries are often bad, most ordinary americans are good people",,,,ISL14,,,,
,F178,The culture of US and other Western countries has many positive attributes,,,,ISL15,,,,
,F179,Exposure to the culture of the US and other Western countries harmful effect on our country,,,,ISL16,,,,
,F186,Religion is a cause of terrorism,,,,ISL25,,,,
,F187,The content of [Country] education contributes to religious extremism,,,,ISL26,,,,
,F188,Which is more important as a basis for marriage:  parents´ approval or love,,,,ISL27,,,,
,F189,"When you were growing up, did your father or mother have more influence in the affairs of the house",,,,ISL28,,,,
,F190,How frequently do you perform the five prescribed prayers of the Islam,,,,ISL29,,,,
,F191,How frequently do you perform in the mosque,,,,ISL30,,,,
,F192,"If you feel sad and want to talk to someone, to whom do you usually turn to",,,,ISL31,,,,
,F193,Civil marriage is very important because it helps maintain the family,,,,ISL32,,,,
,F194,How important: daily prayer,,,,ISL33,,,,
,F195,How important: building a prosperous society,,,,ISL34,,,,
,F196,How important: forming a happy secure family,,,,ISL35,,,,
,F197,How important: building a successful professional future,,,,ISL36,,,,
,F198,Fate versus control,,,V122,,,,,
,F199,Justifiable: For a man to beat his wife,Q189,V208,V208,,,,,
,F200,Meaning of religion: To follow religious norms and ceremonies vs To do good to other people,Q174,V150,,,,,,
,F201,Meaning of religion: To make sense of life after death vs To make sense of life in this world,Q175,V151,,,,,,
,F202,"Whenever science and religion conflict,  religion is always right",Q169,V153,,,,,,
,F203,The only acceptable religion  is my religion,Q170,V154,,,,,,
,F204,All religions should be taught in public schools,,V155,,,,,,
,F205,People who belong to different religions are probably just as moral as those who belong to mine,,V156,,,,,,
,F206,Degree of agreement: Nowadays one often has trouble deciding which moral rules are the right ones to follow,Q176,,,,,,,
,G001,Geographical groups belonging to first,,,,V214,V203,V320,V203,
,G001CS,Geographical groups belonging to first (country specific),,,,G001_CS,G001_CS,G001_CS,,
,G002,Geographical groups belonging to second,,,,V215,V204,V321,V204,
,G002CS,Geographical groups belonging to second  (country specific),,,,G002_CS,G002_CS,G002_CS,,
,G003CS,Geographical groups belonging to least of all (country specific),,,,,,V350,,
,G005,Citizen of [country],,,V264,,,,,
,G006,How proud of nationality,Q254,V211,V209,V216,V205,V322,V205,
,G007_01,Trust: Other people in country,,,,,,V341,,
,G007_02,Trust: French Canadians,,,,,,V342,,
,G007_03,Trust: Nepalis,,,,,,V347_19,,
,G007_04,Trust: Korean residents in Japan,,,,,,V347_20,,
,G007_05,Trust: Chinese residents in Japan,,,,,,V347_21,,
,G007_06,Trust: Mestizo,,,,,,V347_22,,
,G007_07,Trust: Indians,,,,,,V347_23,,
,G007_08,Trust: Central Americans,,,,,,V347_24,,
,G007_09,Trust: Hausas,,,,,,V347_25,,
,G007_10,Trust: Igbos,,,,,,V347_26,,
,G007_11,Trust: Yorubas,,,,,,V347_27,,
,G007_12,Trust: Ghanaians,,,,,,V347_28,,
,G007_13,Trust: Czechs,,,,,,V347_29,,
,G007_16,Trust: West Germans,,,,,,V347_30,,
,G007_17,Trust: Your friends,,,,,,V347_31,,
,G007_18,Trust: Your neighborhood,,,,,,V347_32,,
,G007_18_B,Trust: Your neighborhood (B),Q59,V103,V126,,,,,
,G007_19,Trust: White South Africans,,,,,,V347_33,,
,G007_20,Trust: Black South Africans,,,,,,V347_34,,
,G007_21,Trust: Coloured South Africans,,,,,,V347_35,,
,G007_22,Trust: Asian South Africans,,,,,,V347_36,,
,G007_28,Trust: Moroccans,,,,,,V347_37,,
,G007_30,Trust: Portuguese,,,,,,V347_38,,
,G007_31,Trust: Koreans,,,,,,V347_39,,
,G007_32,Trust: Soviet Union people,,,,,,V347_40,,
,G007_33_B,Trust: People you know personally (B),Q60,V104,V127,,,,,
,G007_34_B,Trust: People you meet for the first time (B),Q61,V105,V128,,,,,
,G007_35_B,Trust: People of another religion (B),Q62,V106,V129,,,,,
,G007_36_B,Trust: People of another nationality (B),Q63,V107,V130,,,,,
,G007_37,Trust: Americans,,,,,,V344,,
,G007_39,Trust: Russians,,,,,,V346,,
,G007_40,Trust: Chinese,,,,,,V347,,
,G007_41,Trust: Italians,,,,,,V347_01,,
,G007_42,Trust: Latin Americans,,,,,,V347_02,,
,G007_43,Trust: Japanese,,,,,,V347_03,,
,G007_44,Trust: Blacks,,,,,,V347_04,,
,G007_45,Trust: Germans,,,,,,V347_05,,
,G007_48,Trust: Mapuche Indians,,,,,,V347_06,,
,G007_49,Trust: Pascuences,,,,,,V347_07,,
,G007_50,Confianza: Argentinos,,,,,,V347_08,,
,G007_51,Trust: Peruvians,,,,,,V347_09,,
,G007_52,Trust: Chinese Zhuan Nationality,,,,,,V347_10,,
,G007_53,Trust: Chinese Hui Nationality,,,,,,V347_11,,
,G007_54,Trust: English,,,,,,V347_12,,
,G007_55,Trust: Slovaks,,,,,,V347_13,,
,G007_56,Trust: Gypsies,,,,,,V347_14,,
,G007_57,Trust: Poles,,,,,,V347_15,,
,G007_58,Trust: Indian Hindus,,,,,,V347_16,,
,G007_59,Trust: Indian Non-Hindus,,,,,,V347_17,,
,G007_60,Trust: Pakistanis,,,,,,V347_18,,
,G007_61,Trust: Canadian people in general,,,V130_CA_1,,,,,
,G007_62,Trust: Christians,,,V130_IQ_4,,,,,
,G007_63,Trust: Kurds,,,V130_IQ_3,,,,,
,G007_64,Trust: People in general,,,V130_NZ_2,,,,,
,G007_65,Trust: Relatives,,,V130_NZ_1,,,,,
,G007_66,Trust: Shi´i,,,V130_IQ_1,,,,,
,G007_67,Trust: Sunni,,,V130_IQ_2,,,,,
